formatted_address,name,place_id,types,price_level,res$results$geometry$location$lat,res$results$geometry$location$lng,res$results$opening_hours$open_now
"Imperial Business Estate, W Mill, Gravesend DA11 0DL, UK",ATM,ChIJyYe6ShK22EcRAas7JSs5l84,atm|finance|point_of_interest|establishment,,51.4434995,0.3566518,
"171 High St, Northfleet, Gravesend DA11 9HG, UK",ATM,ChIJbzeMhom22EcRZ6zYnY8V01U,atm|finance|point_of_interest|establishment,,51.4461237,0.3260729,
"6 Echo Square, Gravesend DA12 1NP, UK",ATM,ChIJ2QAGFAC22EcRRLihVcGT2gE,atm|finance|point_of_interest|establishment,,51.4312943,0.3746088,
"40 Hankinson Way, Salford M6 5JA, UK","SatoshiPoint Bitcoin ATM, Cell City Salford",ChIJ6Ro9QDeue0gR1VGTeC4rrRw,atm|finance|point_of_interest|establishment,,53.4889063,-2.2867077,TRUE
"94-97 Grosvenor St, Manchester M1 7HL, UK","SatoshiPoint Bitcoin ATM, Corner Store",ChIJWeBKC5Oxe0gRI1QoqctCB7c,atm|finance|point_of_interest|establishment,,53.4710228,-2.2347525,TRUE
"Alexandria Drive, Ashton-under-Lyne OL7 0QP, United Kingdom",ATM (Nexus House - Greater Manchester Police),ChIJGfHgRu22e0gR7xLLvETGC4c,atm|finance|point_of_interest|establishment,,53.48079,-2.12174,TRUE
"44 Cavendish St, Manchester M15 6BQ, UK",ATM (Best One),ChIJjxg9r-2xe0gRCWWO5JZzOfU,atm|finance|point_of_interest|establishment,1,53.4690018,-2.2412143,TRUE
"Owens Park Residences, Fallowfield Campus, Manchester M15 6HD, United Kingdom",Barclays ATM,ChIJX_gHr_Oxe0gRJ4JactxWPes,atm|finance|point_of_interest|establishment,,53.4636313,-2.2409373,TRUE
"4 Canal St, Manchester M1 3HE, UK",ATM,ChIJiVxp17-xe0gR05GM50pYCF0,atm|finance|point_of_interest|establishment,,53.4777466,-2.2359859,TRUE
"5 Piccadilly, Manchester M1 1LZ, UK",ATM,ChIJE_J1Xb-xe0gRFRLBsRUQdMg,atm|finance|point_of_interest|establishment,,53.4818152,-2.2379313,TRUE
"Lloyd St, Manchester M2 5DB, UK",Cash Machine,ChIJ_TSX7cGxe0gR_tBGZsXG54k,atm|finance|point_of_interest|establishment,,53.4786437,-2.2434234,TRUE
"The Co-operative Ladybarn, 105 Mauldeth Rd, Manchester M14 6SR, UK",Co-op Cash Machine,ChIJ-XlJizWye0gRshHWAidlURA,atm|finance|point_of_interest|establishment,,53.4352255,-2.2133817,TRUE
"399 Oxford Rd, Manchester M13 9BL, UK",PayPoint,ChIJV7Dhno6xe0gRD7JX15DXWWk,atm|finance|point_of_interest|establishment,,53.4632074,-2.2301228,
"35 Whitworth St W, Manchester M1 5ND, UK",Cardtronics,ChIJASkUZemxe0gR3iLLXrvArtg,atm|finance|point_of_interest|establishment,,53.4741405,-2.2451598,TRUE
"297 Chester Rd, Manchester M15 4EY, UK","SatoshiPoint Bitcoin ATM, Real Image Factory Studios",ChIJO6_TrzKve0gRHGUkyyUYp8k,atm|finance|point_of_interest|establishment,,53.4698506,-2.2643569,TRUE
"119 Great Ancoats St, Manchester M4 5AG, UK",ATM (Shaheen News),ChIJuc9FfLyxe0gR0tmmcvkYd1k,atm|finance|point_of_interest|establishment,,53.4828636,-2.2289643,
